Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Access),Custom field (Account Number),Custom field (Administered By),Custom field (Administrator Email),Custom field (Administrator Name),Custom field (Applications),Custom field (Approval Status),Custom field (Approvers),Custom field (Audience),Custom field (Backout plan),Custom field (Booking Number),Custom field (Building & Room),Custom field (Business Value),Custom field (CAB),Custom field (CPU),Custom field (Cc Groups),Custom field (Cc Users),Custom field (Cc Users),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Customer Name),Custom field (Customer Request Type),Custom field (Customer User ID),Custom field (Data Classification),Custom field (Database),Custom field (Department/Faculty),Custom field (Directories),Custom field (Directors),Custom field (Disk),Custom field (Email Contact),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External issue ID),Custom field (Gigabytes),Custom field (Global Rank),Custom field (Has Database),Custom field (Has Firewall),Custom field (Home Number),Custom field (Impact),Custom field (Impact of failure),Custom field (Implementation plan),Custom field (Investigation reason),Custom field (Key Status),Custom field (Memory),Custom field (Network Speed),Custom field (Notification Email),Custom field (Notifications),Custom field (Operating System),Custom field (Operational categorization),Custom field (Oracle Bug/RFE),Custom field (Oracle SR),Custom field (Payment Method),Custom field (Pending reason),Custom field (Probability of failure),Custom field (Product categorization),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Request participants),Custom field (Resources),Custom field (Root cause),Custom field (Satisfaction),Custom field (Severity),Custom field (Source),Custom field (Standard Checks),Custom field (Story Points),Custom field (Testing),Custom field (Urgency),Custom field (VM OS),Custom field (Work Number),Custom field (Workaround),,,,,,,,,,,,,
Drop In - Image in Resources Not Displaying,ITRC-3026,222441,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-12-22 14:03,2017-12-22 14:03,2019-06-11 10:56,2017-12-22 14:03,Support,,,0,owl,owl-resources,resources,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0y0un:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
OCCPTHER 9613 - Modules - Updates,ITRC-3015,221371,,Task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,rsanchez,rsanchez,2017-12-14 11:17,2019-01-16 16:45,2019-06-11 10:56,2018-05-14 10:24,ITRC Project,,,0,itrc-project,itrc-project-design,,,,,,jroach7,rsanchez,,,,,,,,,,,,,,,,,,,,,Default,ITRC-2673,15/Dec/17 3:09 PM;rsanchez;How to write Occupational Therapy goals.docx;https://jira.uwo.ca/secure/attachment/28588/How+to+write+Occupational+Therapy+goals.docx,15/Dec/17 3:42 PM;rsanchez;ITRC-3015 - Project Contract.pdf;https://jira.uwo.ca/secure/attachment/28590/ITRC-3015+-+Project+Contract.pdf,28/Feb/18 9:27 AM;rsanchez;Revised Case study_OT9613_27Feb2018.docx;https://jira.uwo.ca/secure/attachment/29508/Revised+Case+study_OT9613_27Feb2018.docx,28/Feb/18 9:27 AM;rsanchez;Script_Intro video_27Feb2018.docx;https://jira.uwo.ca/secure/attachment/29507/Script_Intro+video_27Feb2018.docx,,,,,,,,,,,,,,,,,,,,,,,,Liliana Alvarez ,,lalvare2,,,"Health Sciences, Faculty of",,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0xu9j:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
OWL Help Documentation - Phase 3 - Statistics,ITRC-2989,219708,219682,Sub-task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Done,ddorobek,rsanchez,rsanchez,2017-12-01 10:37,2018-05-14 9:20,2019-06-11 10:56,2018-05-14 9:20,Documentation,ITRC Project,2018-03-23 0:00,0,owl-documentation,,,,,,,ddorobek,rsanchez,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0xk0v:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
OWL Help Documentation - Phase 3 - SCORM,ITRC-2986,219705,219682,Sub-task,Closed,ITRC,ITRC,software,sfoster9,,High,Done,ddorobek,rsanchez,rsanchez,2017-12-01 10:37,2018-05-14 9:40,2019-06-11 10:56,2018-05-04 16:13,Documentation,ITRC Project,2018-03-07 0:00,0,owl-documentation,,,,,,,cstew2,ddorobek,rsanchez,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0xk07:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Rise Project based on Ana Garcia's Powtoon development,ITRC-2959,219189,,Task,Open,ITRC,ITRC,software,sfoster9,,Medium,,ddorobek,ddorobek,ddorobek,2017-11-28 16:30,2018-02-22 16:44,2019-06-11 10:56,,,,,0,itrc-project-design,itrc-project-storyline,project,,,,,ddorobek,jwinkler,nmccain,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0x0k3:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop In - Linking Resources to Lesson Pages,ITRC-2955,217884,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-11-17 16:05,2017-11-17 16:05,2019-06-11 10:56,2017-11-17 16:05,Support,,,0,owl,owl-lessons,owl-resources,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0x8xr:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Revision - Chapter 3 - Review Questions: Precede-Proceed,ITRC-2936,214479,191393,Sub-task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,rsanchez,rsanchez,2017-10-23 12:21,2017-10-30 9:40,2019-06-11 10:56,2017-10-30 9:40,ITRC Project,,2017-10-24 0:00,0,,,,,,,,ddorobek,rsanchez,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0wo1j:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
Drop In - Assignment Resubmission,ITRC-2916,212243,,Problem,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,ddorobek,ddorobek,2017-10-02 15:32,2017-10-02 15:32,2019-06-11 10:56,2017-10-02 15:32,Support,,,0,owl,owl-assignment,owl-resources,,,,,ddorobek,,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0wa8f:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
OWL Help Documentation - Phase 2 - Site Info,ITRC-2876,208776,208732,Sub-task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Done,ddorobek,rsanchez,rsanchez,2017-09-11 11:47,2017-10-06 16:24,2019-06-11 10:56,2017-10-06 16:24,Documentation,ITRC Project,2017-12-20 0:00,0,owl-documentation,,,,,,,ddorobek,rsanchez,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0vouf:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
OWL Help Documentation - Phase 2 - News,ITRC-2866,208762,208732,Sub-task,Closed,ITRC,ITRC,software,sfoster9,,Medium,Fixed,ddorobek,rsanchez,rsanchez,2017-09-11 11:43,2017-10-06 12:39,2019-06-11 10:56,2017-09-25 15:57,Documentation,ITRC Project,2017-12-20 0:00,0,owl-documentation,,,,,,,ddorobek,rsanchez,,,,,,,,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.22337E+18,No,Yes,,,,,,,,100 Mbit/s,,,,,,,,,,,0|i0vorb:,9.22337E+18,,,,,,,,,No,,,,,,,,,,,,,,,,,
